Título,Preço,Ano,Quilometragem,Transmissão,Localidade,Combustível,Potência,URL
"Mercedes-Benz
CLA 250
e SB AMG-Sport/LED/Night/Ambiente/19'","€ 28,870",04/2022,"35,680 km",Automatic,Ihr Vertriebsteam • DE-58135 Hagen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-sport-led-night-ambiente-19-electric-gasoline-black-5d79229b-9151-43ce-bc02-2421a9627140
"Mercedes-Benz
CLA 250
e SB AMG/Wide/LED/360/Totw/CarPlay/Night","€ 25,940",04/2021,"57,312 km",Automatic,Ihr Vertriebsteam • DE-51545 Waldbröl,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-wide-led-360-totw-carplay-night-electric-gasoline-black-07afc35c-53c6-4df2-9e49-979155e31bd2
"Mercedes-Benz
CLA 250
e SB AMG/MBUX/Navi/LED/AHK/Cam/Night/18""","€ 26,180",03/2021,"59,750 km",Automatic,Ihr Vertriebsteam • DE-57610 Altenkirchen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-mbux-navi-led-ahk-cam-night-18-electric-gasoline-grey-c511ebed-87dc-4f09-adce-7a4caf237f34
"Mercedes-Benz
CLA 250
CLA 250 AMG Edition2021 OptikPaket Kamera*Led*Na","€ 26,950",04/2022,"54,660 km",Automatic,Automarkt Immelborn • DE-36456 Barchfeld Immelborn,Electric/Gasoline,160 kW (218 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-cla-250-amg-edition2021-optikpaket-kamera-led-na-electric-gasoline-grey-7bbe1a1f-2ef9-4238-8005-0d57eecd271d
"Mercedes-Benz
CLA 250
e AMG 360°+M-LED+Pano","€ 29,777",09/2021,"49,690 km",Automatic,Internet Vertriebsteam • DE-38820 Halberstadt,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-amg-360-m-led-pano-electric-gasoline-white-cc2ab469-e72f-43f7-89f0-86c4cde3c56c
"Mercedes-Benz
CLA 250
e AMG Virtual*Kamera*Night*Alcantara*Nav","€ 29,890",04/2021,"29,988 km",- Gear,Automarkt Immelborn • DE-36456 Barchfeld Immelborn,Electric/Gasoline,160 kW (218 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-amg-virtual-kamera-night-alcantara-nav-electric-gasoline-black-88607b87-afde-4968-bc96-c4a1eef33e89
"Mercedes-Benz
CLA 250
e SB AMG+MBUX+LED+Kamera+Ambiente+19''","€ 29,879",10/2022,"38,330 km",Automatic,Online Vertriebsteam • DE-86609 Donauwörth,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-mbux-led-kamera-ambiente-19-electric-gasoline-white-c7043f97-cb12-44b6-9bdd-a26a5f6077a4
"Mercedes-Benz
CLA 250
e SB Ed. 2020 AMG Night Pano/MBUX/Kamera","€ 29,450",02/2021,"33,621 km",Automatic,Andreas Janik • DE-85276 Pfaffenhofen an der Ilm,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-ed-2020-amg-night-pano-mbux-kamera-electric-gasoline-grey-1085ecc6-680a-4400-9ad2-0285c86ef24b
"Mercedes-Benz
CLA 250
e COUPE AMG-LINE MBUX EDITION NIGHT LED","€ 29,390",06/2021,"55,800 km",Automatic,Taunus-Auto Internet-Verkauf • DE-65189 Wiesbaden,Electric/Gasoline,160 kW (218 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-coupe-amg-line-mbux-edition-night-led-electric-gasoline-grey-58536f93-2086-4590-a283-4a11343b6956
"Mercedes-Benz
CLA 250
DCT AMG LINE PANORAMADACH","€ 29,990",03/2022,"39,000 km",Automatic,Torsten Lüdtke • DE-22848 Norderstedt,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-dct-amg-line-panoramadach-electric-gasoline-black-1e08c0af-a0d2-4fbe-9ca0-2bb87343e92e
"Mercedes-Benz
CLA 250
e EDITION 2020+AMG+NIGHT+AHK+LED+FAHRASS","€ 25,990",03/2021,"58,934 km",Automatic,Ihr freundliches Beratungsteam • DE-30855 Langenhagen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-edition-2020-amg-night-ahk-led-fahrass-electric-gasoline-black-ae8085ae-6700-4861-abda-17bdb2bf3e7a
"Mercedes-Benz
CLA 250
CLA 250e SB 8G AMG NIGHT LED DAB SPUR R-KAM AMBT","€ 27,150",10/2021,"35,340 km",Automatic,Martin Klimek & Dennis Feiler • DE-42897 Remscheid,Electric/Gasoline,160 kW (218 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-cla-250e-sb-8g-amg-night-led-dab-spur-r-kam-ambt-electric-gasoline-black-8f94e1dc-b439-4b16-88de-6461712493b0
"Mercedes-Benz
CLA 250
e EDITION 2020+AMG+NIGHT+360°+LED+TOTW+8G","€ 26,890",03/2021,"58,033 km",Automatic,Internetvertriebsteam • DE-22047 Hamburg,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-edition-2020-amg-night-360-led-totw-8g-electric-gasoline-black-fd5d4bc3-d1e5-4469-8f77-641c413242a6
"Mercedes-Benz
CLA 250
CLA 250e SB AMG-Line*LED*ALCANTARA/LEDER*NAVI*","€ 26,790",12/2021,"30,000 km",Automatic,Andranik Yermazyan • DE-99734 Nordhausen/Sundhausen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-cla-250e-sb-amg-line-led-alcantara-leder-navi-electric-gasoline-white-0a03aff3-2661-4b7a-b158-d436da7b0de1
"Mercedes-Benz
CLA 250
e SB AMG,Pano,360,MBUX high, LED Performance","€ 30,000",10/2021,"31,500 km",Automatic,,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-pano-360-mbux-high-led-performance-electric-gasoline-gold-e41f763b-3bd0-4a82-bb8f-7e12b1c7c790
"Mercedes-Benz
CLA 250
e SB AMG Night Edition2020 Kamera","€ 26,770",04/2021,"42,800 km",Automatic,Internet Vertriebsteam • DE-36043 Fulda,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-night-edition2020-kamera-electric-gasoline-black-2d075e76-2075-4454-a197-ebe9d15b48a8
"Mercedes-Benz
CLA 250
Shooting Brake Edition AMG SHZ NIGHT","€ 27,980",03/2021,"26,000 km",Automatic,"Herr Betz, Herr Schmid, Herr Sajtovic Herr Ducke • DE-73760 Ostfildern",Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-shooting-brake-edition-amg-shz-night-electric-gasoline-black-f07bbdb6-954c-4292-a44a-37bf5355b5f1
"Mercedes-Benz
CLA 250
e EDITION 2020+AMG+NIGHT+LED+KAMERA+8G","€ 28,890",04/2021,"24,655 km",Automatic,Internetvertriebsteam • DE-22047 Hamburg,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-edition-2020-amg-night-led-kamera-8g-electric-gasoline-grey-847cc11f-bb8d-4a9e-8ab8-a6c199195e92
"Mercedes-Benz
CLA 250
e Edition AMG Kamera Navi","€ 26,800",02/2021,"43,900 km",Automatic,- - • DE-49082 Osnabrück,Electric/Gasoline,160 kW (218 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-edition-amg-kamera-navi-electric-gasoline-black-e1af019b-3e37-4ca4-8784-7e23c77fbc0a
"Mercedes-Benz
CLA 250
e SB AMG/Wide/LED/360/Totw/CarPlay/Night","€ 25,940",04/2021,"57,312 km",Automatic,Ihr Vertriebsteam • DE-51545 Waldbröl,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-wide-led-360-totw-carplay-night-electric-gasoline-black-07afc35c-53c6-4df2-9e49-979155e31bd2
"Mercedes-Benz
CLA 250
e SB AMG Night Leder S-Sitz ACC PDC AUT","€ 29,400",03/2021,"42,325 km",Automatic,Kundencenter Burger Schloz Automobile • DE-73312 Geislingen / Steige,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-night-leder-s-sitz-acc-pdc-aut-electric-gasoline-black-6132516c-de95-48d7-940b-062dc6a9b9f9
"Mercedes-Benz
CLA 250
e SB AMG Night Edition2020 Kamera","€ 26,770",04/2021,"42,800 km",Automatic,Internet Vertriebsteam • DE-36043 Fulda,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-night-edition2020-kamera-electric-gasoline-black-34a39513-c0cd-4499-bc3c-c43a060f5752
"Mercedes-Benz
CLA 250
e AMG+LED+KAMERA+8G","€ 29,890",04/2022,"51,644 km",Automatic,Ihr Verkaufsteam • DE-68165 Mannheim,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-amg-led-kamera-8g-electric-gasoline-black-d4121b02-c4f9-4ba0-b42d-5334d6e027f3
"Mercedes-Benz
CLA 250
CLA 250 e SB AMG-LINE/PANO-SHD/LED/NIGHT AMG Line","€ 28,590",09/2021,"53,000 km",Automatic,Online Verkaufsteam • DE-18439 Stralsund,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-cla-250-e-sb-amg-line-pano-shd-led-night-amg-line-electric-gasoline-black-16afb796-f891-48bf-b936-bd1effc5c7eb
"Mercedes-Benz
CLA 250
e AMG+AHK+DISTR+19""+LEDER","€ 29,890",11/2021,"43,254 km",Automatic,Internet-Verkaufsteam • DE-46414 Rhede,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-amg-ahk-distr-19-leder-electric-gasoline-black-f24b3b81-c3f3-41b5-9599-e8df9eecd493
"Mercedes-Benz
CLA 250
e SB AMG LED+KAMERA+CARPLAY+19""+","€ 29,980",09/2022,"27,690 km",Automatic,DE-42281 Wuppertal,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-led-kamera-carplay-19-electric-gasoline-black-ac328409-c259-43ac-94f3-e1064603ac1d
"Mercedes-Benz
CLA 250
e SB EDITION 2021 AMG NIGHT 360° LED-HP","€ 29,888",05/2022,"46,000 km",Automatic,Ihr Verkaufsteam • DE-42781 Haan,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-edition-2021-amg-night-360-led-hp-electric-gasoline-black-bed8ef25-d47d-4305-8f88-009a6ee4b204
"Mercedes-Benz
CLA 250
CLA 250e Shooting Brake SB AMG-Line Edition LED","€ 28,500",03/2021,"14,600 km",Automatic,Andranik Yermazyan • DE-99734 Nordhausen/Sundhausen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-cla-250e-shooting-brake-sb-amg-line-edition-led-electric-gasoline-black-12e5caae-9aef-4b97-9dbf-536fa4e75cec
"Mercedes-Benz
CLA 250
e Shooting Brake -AMG Line+LED+MBUX+NIGHT","€ 27,990",09/2022,"47,615 km",Automatic,Marco Satkowski • DE-16727 Velten,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-shooting-brake-amg-line-led-mbux-night-electric-gasoline-black-7f67137a-0154-496f-9d2e-258005e60bf7
"Mercedes-Benz
CLA 250
e SB AMG MBUX Navi+ Kamera AHK SpurH","€ 29,260",12/2022,"44,250 km",Automatic,Internet Vertriebsteam • DE-64572 Büttelborn,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-mbux-navi-kamera-ahk-spurh-electric-gasoline-grey-1dd72ec1-e191-4956-8670-d97c4dd21d2a
"Mercedes-Benz
CLA 250
e AMG Line Leder|Navi|Navi|SHZ|LED|Tempo","€ 29,955",01/2022,"21,050 km",Automatic,Ihr Verkaufsteam • DE-85748 Garching bei München,Electric/Gasoline,160 kW (218 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-amg-line-leder-navi-navi-shz-led-tempo-electric-gasoline-black-49645d27-abdf-4677-aa9c-3c73c667a447
"Mercedes-Benz
CLA 250
e SB AMG HUD Night S-Sitz PDC SHZ LED","€ 29,400",03/2022,"39,541 km",Automatic,Kundencenter Burger Schloz Automobile • DE-73066 Uhingen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-hud-night-s-sitz-pdc-shz-led-electric-gasoline-black-90f6fe0a-b183-44ce-ac05-9fd6970cb0aa
"Mercedes-Benz
CLA 250
e SB AMG MBUX Navi+ Kamera AHK SpurH","€ 29,260",12/2022,"44,250 km",Automatic,Internet Vertriebsteam • DE-64572 Büttelborn,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-mbux-navi-kamera-ahk-spurh-electric-gasoline-grey-c042dae5-02a8-4d47-bb27-e887c0964330
"Mercedes-Benz
CLA 250
e SB AMG Night EDITION2020 Panorama AHK","€ 29,650",03/2021,"58,100 km",Automatic,Internet Vertriebsteam • DE-63755 Alzenau,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-night-edition2020-panorama-ahk-electric-gasoline-white-74eda797-9c30-4bf5-baae-f9a5fd8190c8
"Mercedes-Benz
CLA 250
e SB AMG Night Edition2020 Distronic AHK","€ 28,270",03/2021,"42,700 km",Automatic,Internet Vertriebsteam • DE-36043 Fulda,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-night-edition2020-distronic-ahk-electric-gasoline-black-9eed24db-226f-484b-a3bf-41eb0a58d3f0
"Mercedes-Benz
CLA 250
CLA 250 e AMG APP AHK","€ 28,900",09/2022,"32,850 km",Automatic,Andreas Rahmen • DE-52511 Geilenkirchen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-cla-250-e-amg-app-ahk-electric-gasoline-red-bd4355a8-7544-4788-b30d-9d553c535ee0
"Mercedes-Benz
CLA 250
Shooting Brake AMG-Line AUTOMATIK LEDER","€ 6,990",08/2022,"21,000 km",Automatic,E Ernst • DE-06130 Halle,Electric/Gasoline,160 kW (218 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-shooting-brake-amg-line-automatik-leder-electric-gasoline-white-2349ecaa-03a7-487c-a88f-588bca3dd968
"Mercedes-Benz
CLA 250
e SB AMG Night Edition2020 Distronic AHK","€ 28,270",03/2021,"42,700 km",Automatic,Internet Vertriebsteam • DE-36043 Fulda,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-night-edition2020-distronic-ahk-electric-gasoline-black-a40ede2a-900d-4cf6-bf19-e3e4df82a749
"Mercedes-Benz
CLA 250
CLA 250 e SB AMG MBUX/MLTBEAM/AHK/KAMERA/19""/AMB","€ 29,690",11/2022,"54,000 km",Automatic,Engin Uslu • DE-45879 Gelsenkirchen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-cla-250-e-sb-amg-mbux-mltbeam-ahk-kamera-19-amb-electric-gasoline-black-8cbde691-2226-46f3-b1f2-287a2e92fea0
"Mercedes-Benz
CLA 250
e SB AMG/MBUX/Navi/LED/AHK/Cam/Night/18""","€ 26,180",03/2021,"59,750 km",Automatic,Ihr Vertriebsteam • DE-57610 Altenkirchen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-mbux-navi-led-ahk-cam-night-18-electric-gasoline-grey-c511ebed-87dc-4f09-adce-7a4caf237f34
"Mercedes-Benz
CLA 250
CLA 250 e SB AMG Line Night MULTIBEAM DAB KEYLES","€ 29,800",04/2021,"29,147 km",Automatic,Team Verkauf • DE-49661 Cloppenburg,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-cla-250-e-sb-amg-line-night-multibeam-dab-keyles-electric-gasoline-black-cf540f4b-aa16-417a-8cdd-9d8471b4af20
"Mercedes-Benz
CLA 250
e SB AMG Night EDITION2020 Panorama AHK","€ 29,650",03/2021,"58,100 km",Automatic,Internet Vertriebsteam • DE-63755 Alzenau,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-night-edition2020-panorama-ahk-electric-gasoline-white-cb817b69-c03d-4aeb-98d2-3d748c4ed9a7
"Mercedes-Benz
CLA 250
e SB AMG Edition 2020 Night MBUX/LED/Kam","€ 29,490",03/2021,"29,980 km",Automatic,Andreas Janik • DE-85276 Pfaffenhofen an der Ilm,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-edition-2020-night-mbux-led-kam-electric-gasoline-white-6f9eab6b-4572-45cd-bca3-e12c105c0748
"Mercedes-Benz
CLA 250
e SB Ed. 2020 AMG Night Pano/MBUX/Kamera","€ 29,450",02/2021,"33,621 km",Automatic,Andreas Janik • DE-85276 Pfaffenhofen an der Ilm,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-ed-2020-amg-night-pano-mbux-kamera-electric-gasoline-grey-d600d30f-922b-4dbd-b07e-fc2406206ba4
"Mercedes-Benz
CLA 250
CLA 250 e AMG APP AHK","€ 28,900",09/2022,"32,850 km",Automatic,Ihr Verkaufsteam • DE-21435 Stelle bei Hamburg,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-cla-250-e-amg-app-ahk-electric-gasoline-red-4ab3634d-40c7-4dbb-a8b9-4b929ca9dc72
"Mercedes-Benz
CLA 250
e SB AMG Edition 2020 Night MBUX/LED/Kam","€ 29,490",03/2021,"29,980 km",Automatic,Andreas Janik • DE-85276 Pfaffenhofen an der Ilm,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-edition-2020-night-mbux-led-kam-electric-gasoline-white-359cbb34-350e-49a9-b9c1-4b92981b8d2f
"Mercedes-Benz
CLA 250
e AMG Night LED MBUX Kamera Ambiente-Be.","€ 28,900",10/2021,"102,800 km",Automatic,Isidi Automobile • DE-72766 Reutlingen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-amg-night-led-mbux-kamera-ambiente-be-electric-gasoline-black-ac0a60ac-d403-4a1b-8f7c-0920ae86f65f
"Mercedes-Benz
CLA 250
e SB AMG,Pano,360,MBUX high, LED Performance","€ 30,000",10/2021,"31,500 km",Automatic,,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-pano-360-mbux-high-led-performance-electric-gasoline-gold-e41f763b-3bd0-4a82-bb8f-7e12b1c7c790
"Mercedes-Benz
CLA 250
e Coupé +AMG+MBUX+Night+Ambiente+AHK+SHZ","€ 32,770",04/2021,"64,730 km",Automatic,Team CRM/Online • DE-25337 Elmshorn,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-coupe-amg-mbux-night-ambiente-ahk-shz-electric-gasoline-black-ef749f54-1bca-41a3-a148-8a8f1c2a17ac
"Mercedes-Benz
CLA 250
e SB AMG LED+KAMERA+CARPLAY+19""+","€ 29,980",09/2022,"27,690 km",Automatic,DE-42281 Wuppertal,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-led-kamera-carplay-19-electric-gasoline-black-ac328409-c259-43ac-94f3-e1064603ac1d
"Mercedes-Benz
CLA 250
AMG-Line NAV+LED+360°+PP","€ 25,749",03/2021,"119,450 km",Automatic,Oliver Rabe • DE-26203 Wardenburg,Electric/Gasoline,160 kW (218 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-amg-line-nav-led-360-pp-electric-gasoline-grey-15494a43-967f-4078-a7ea-939048a98a4a
"Mercedes-Benz
CLA 250
e SB AMG Night Leder S-Sitz ACC PDC AUT","€ 29,400",03/2021,"42,325 km",Automatic,Kundencenter Burger Schloz Automobile • DE-73312 Geislingen / Steige,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-night-leder-s-sitz-acc-pdc-aut-electric-gasoline-black-6132516c-de95-48d7-940b-062dc6a9b9f9
"Mercedes-Benz
CLA 250
Shooting Brake Edition AMG SHZ NIGHT","€ 27,980",03/2021,"26,000 km",Automatic,"Herr Betz, Herr Schmid, Herr Sajtovic Herr Ducke • DE-73760 Ostfildern",Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-shooting-brake-edition-amg-shz-night-electric-gasoline-black-f07bbdb6-954c-4292-a44a-37bf5355b5f1
"Mercedes-Benz
CLA 250
e AMG+LED+KAMERA+8G","€ 29,890",04/2022,"51,644 km",Automatic,Ihr Verkaufsteam • DE-68165 Mannheim,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-amg-led-kamera-8g-electric-gasoline-black-d4121b02-c4f9-4ba0-b42d-5334d6e027f3
"Mercedes-Benz
CLA 250
e SB AMG Line *MBUX*AHK*HUD*Burm*360*19""","€ 33,880",08/2021,"37,500 km",Automatic,Online Vertriebsteam • DE-73730 Esslingen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-line-mbux-ahk-hud-burm-360-19-electric-gasoline-white-169b3864-5292-442f-8872-a0770c816de4
"Mercedes-Benz
CLA 250
CLA 250e 8G-DCT AMG MBUX Night PANO KAM","€ 33,790",08/2021,"24,023 km",Automatic,Team Autoexpo • DE-35463 Fernwald-Steinbach,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-cla-250e-8g-dct-amg-mbux-night-pano-kam-electric-gasoline-grey-da6eaced-7c1c-470e-99f7-fe1fb0d358d5
"Mercedes-Benz
CLA 250
e SB AMG/Wide/LED/Cam/Amb/DAB/Night/18""","€ 26,640",03/2022,"66,690 km",Automatic,Ihr Vertriebsteam • DE-57610 Altenkirchen,Electric/Gasoline,118 kW (160 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-e-sb-amg-wide-led-cam-amb-dab-night-18-electric-gasoline-white-0c6968e4-ff0c-469b-957b-53bebe5231e9
"Mercedes-Benz
CLA 250
CLA 250e SB 8G AMG NIGHT HUD+AUGR AMB LEDER PANO","€ 27,350",12/2022,"89,980 km",Automatic,Martin Klimek & Dennis Feiler • DE-42897 Remscheid,Electric/Gasoline,160 kW (218 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-cla-250e-sb-8g-amg-night-hud-augr-amb-leder-pano-electric-gasoline-white-480c35ad-ae4a-4a9a-9dd4-205d8b28d839
"Mercedes-Benz
CLA 250
AMG 4M LED MBUX Burmester 360","€ 32,990",03/2022,"29,500 km",Automatic,Carlo Jesse • DE-49477 Ibbenbüren,Gasoline,165 kW (224 hp),https://www.autoscout24.com/offers/mercedes-benz-cla-250-amg-4m-led-mbux-burmester-360-gasoline-gold-b65c73cf-3536-4b87-8704-68057d54857c
